学校名称,所在地区,省份,城市,学院名称,专业名称,学科评估等级,2025复试线,报录比,推免比例,难度评级,性价比评级,数据收集状态,备注
北京大学,华北地区,北京,北京,计算机学院,计算机科学与技术,A+,未开始,
清华大学,华北地区,北京,北京,计算机系,计算机科学与技术,A+,未开始,
浙江大学,华东地区,浙江,杭州,计算机学院,计算机科学与技术,A+,未开始,
上海交通大学,华东地区,上海,上海,电子信息与电气工程学院,计算机科学与技术,A,未开始,
复旦大学,华东地区,上海,上海,计算机科学技术学院,计算机科学与技术,A-,未开始,
南京大学,华东地区,江苏,南京,计算机科学与技术系,计算机科学与技术,A,未开始,
中国科学技术大学,华东地区,安徽,合肥,计算机科学与技术学院,计算机科学与技术,A,未开始,
哈尔滨工业大学,东北地区,黑龙江,哈尔滨,计算机学院,计算机科学与技术,A,未开始,区分校区
华中科技大学,华中地区,湖北,武汉,计算机学院,计算机科学与技术,A,未开始,
武汉大学,华中地区,湖北,武汉,计算机学院,计算机科学与技术,A-,未开始,
电子科技大学,西南地区,四川,成都,计算机学院,计算机科学与技术,A,未开始,
北京航空航天大学,华北地区,北京,北京,计算机学院,计算机科学与技术,A,未开始,
北京理工大学,华北地区,北京,北京,计算机学院,计算机科学与技术,A-,未开始,
